,index,Unnamed: 0,title_x,x,y,publish_time_x,abstract,authors,journal,category,cluster
35556,35556,35556,Samen met burger interventies ontwikkelen,14.220854,-2.5997694,2020-06-16,,"Kenny, Sue",Community Dev J,786,1
37578,37578,37578,Vervang zeeheld door zorgheld,14.214126,-2.4898577,2020-08-18,,,Reactions Weekly,786,1
43235,43235,43235,Lof der verpleegkunst,14.054236,-2.1725717,2020-12-22,,,MTZ Worldw,786,12
51450,51450,51450,Integrative reviews,14.14397,-2.225222,2021-04-20,,"I. Furlano, Raoul; Köhler, Henrik",P&#x000e4;diatrie,786,1
51455,51455,51455,nieuws,14.234601,-2.408546,2021-04-20,,,Ment Health Clin,786,1
